addressWithZip,statusText,detailUrl,price,zpid,beds,baths,area,latitude,longitude,city,yearBuilt,daysOnZillow,hiResImageLink,homeType,school name,rating,rating,level,link,size,school name,rating,rating,level,link,size,school name,rating,rating,level,link,size,distance,travel_time
"11861 Skylark Rd, Clarksburg, MD 20871",Townhouse for sale,https://www.zillow.com/homedetails/11861-Skylark-Rd-Clarksburg-MD-20871/97477492_zpid/,423000,97477492,3,3,2090,39.23446,-77.244849,Clarksburg,2007,75,https://photos.zillowstatic.com/p_f/ISug0036w5yk3y0000000000.jpg,TOWNHOUSE,Cedar Grove Elementary School,29,9,Elementary,/germantown-md/schools/cedar-grove-elementary-school-25138/,646,Hallie Wells Middle School,999,,Middle,/clarksburg-md/schools/hallie-wells-middle-school-177133/,,Damascus High School,35,8,High,/damascus-md/schools/damascus-high-school-27148/,1248,14.579,1240
"118 Ridgepoint Pl, Gaithersburg, MD 20878",Townhouse for sale,https://www.zillow.com/homedetails/118-Ridgepoint-Pl-Gaithersburg-MD-20878/37251547_zpid/,495000,37251547,3,3,2240,39.122379,-77.249134,Gaithersburg,1994,7,https://photos.zillowstatic.com/p_f/IS6qn95uk67e421000000000.jpg,TOWNHOUSE,Rachel Carson Elementary School,30,8,Primary,/gaithersburg-md/schools/rachel-carson-elementary-school-27401/,1015,Lakelands Park Middle School,24,8,Middle,/gaithersburg-md/schools/lakelands-park-middle-school-27140/,1002,Quince Orchard High School,16,8,High,/gaithersburg-md/schools/quince-orchard-high-school-27379/,1891,7.072,1076
"118 Ridgepoint Pl, Gaithersburg, MD 20878",Townhouse for sale,https://www.zillow.com/homedetails/118-Ridgepoint-Pl-Gaithersburg-MD-20878/37251547_zpid/,495000,37251547,3,3,2240,39.122379,-77.249134,Gaithersburg,1994,7,https://photos.zillowstatic.com/p_f/IS6qn95uk67e421000000000.jpg,TOWNHOUSE,Rachel Carson Elementary School,30,8,Primary,/gaithersburg-md/schools/rachel-carson-elementary-school-27401/,1015,Lakelands Park Middle School,24,8,Middle,/gaithersburg-md/schools/lakelands-park-middle-school-27140/,1002,Quince Orchard High School,16,8,High,/gaithersburg-md/schools/quince-orchard-high-school-27379/,1891,7.072,1087
"125 Chevy Chase St # A, Gaithersburg, MD 20878",Coming soon,https://www.zillow.com/homedetails/125-Chevy-Chase-St-A-Gaithersburg-MD-20878/54518099_zpid/,468000,54518099,3,3,2610,39.122468,-77.231291,Gaithersburg,2000,42,https://photos.zillowstatic.com/p_f/IS6mca3jtze9ev1000000000.jpg,TOWNHOUSE,Rachel Carson Elementary School,30,8,Primary,/gaithersburg-md/schools/rachel-carson-elementary-school-27401/,1015,Lakelands Park Middle School,24,8,Middle,/gaithersburg-md/schools/lakelands-park-middle-school-27140/,1002,Quince Orchard High School,16,8,High,/gaithersburg-md/schools/quince-orchard-high-school-27379/,1891,,
"14046 Rockingham Rd, Germantown, MD 20874",Townhouse for sale,https://www.zillow.com/homedetails/14046-Rockingham-Rd-Germantown-MD-20874/54516984_zpid/,435000,54516984,3,4,3000,39.15268,-77.289222,Germantown,2002,36,https://photos.zillowstatic.com/p_f/ISyjpc5b0doe4i1000000000.jpg,TOWNHOUSE,Spark M. Matsunaga Elementary School,31,8,Elementary,/germantown-md/schools/spark-m-matsunaga-elementary-school-27133/,925,Kingsview Middle School,21,8,Middle,/germantown-md/schools/kingsview-middle-school-26493/,1002,Northwest High School,26,7,High,/germantown-md/schools/northwest-high-school-27125/,2110,9.895,1330
"9 Flagstone Ct, Germantown, MD 20874",House for sale,https://www.zillow.com/homedetails/9-Flagstone-Ct-Germantown-MD-20874/37151580_zpid/,429900,37151580,3,2,2272,39.141284,-77.298509,Germantown,1962,4,https://photos.zillowstatic.com/p_f/IS62p2qa9xvhsx0000000000.jpg,SINGLE_FAMILY,Spark M. Matsunaga Elementary School,31,8,Elementary,/germantown-md/schools/spark-m-matsunaga-elementary-school-27133/,925,Kingsview Middle School,21,8,Middle,/germantown-md/schools/kingsview-middle-school-26493/,1002,Northwest High School,26,7,High,/germantown-md/schools/northwest-high-school-27125/,2110,13.529,1274
"14046 Rockingham Rd, Germantown, MD 20874",Townhouse for sale,https://www.zillow.com/homedetails/14046-Rockingham-Rd-Germantown-MD-20874/54516984_zpid/,435000,54516984,3,4,3000,39.15268,-77.289222,Germantown,2002,36,https://photos.zillowstatic.com/p_f/ISyjpc5b0doe4i1000000000.jpg,TOWNHOUSE,Spark M. Matsunaga Elementary School,31,8,Elementary,/germantown-md/schools/spark-m-matsunaga-elementary-school-27133/,925,Kingsview Middle School,21,8,Middle,/germantown-md/schools/kingsview-middle-school-26493/,1002,Northwest High School,26,7,High,/germantown-md/schools/northwest-high-school-27125/,2110,9.895,1307
"14016 Schaeffer Rd, Germantown, MD 20874",House for sale,https://www.zillow.com/homedetails/14016-Schaeffer-Rd-Germantown-MD-20874/37152366_zpid/,450000,37152366,3,3,2720,39.155942,-77.292214,Germantown,1969,73,https://photos.zillowstatic.com/p_f/IS2zzh99ku4acb1000000000.jpg,SINGLE_FAMILY,Spark M. Matsunaga Elementary School,31,8,Elementary,/germantown-md/schools/spark-m-matsunaga-elementary-school-27133/,925,Kingsview Middle School,21,8,Middle,/germantown-md/schools/kingsview-middle-school-26493/,1002,Northwest High School,26,7,High,/germantown-md/schools/northwest-high-school-27125/,2110,12.414,1135
"26209 Rudale Dr, Clarksburg, MD 20871",For sale by owner,https://www.zillow.com/homedetails/26209-Rudale-Dr-Clarksburg-MD-20871/37080588_zpid/,405000,37080588,4,3,1500,39.285833,-77.281445,Clarksburg,1970,2,https://photos.zillowstatic.com/p_f/ISec6d42x5a8ch1000000000.jpg,SINGLE_FAMILY,Little Bennett Elementary School,36,8,Elementary,/clarksburg-md/schools/little-bennett-elementary-school-27391/,692,Rocky Hill Middle School,29,8,Middle,/clarksburg-md/schools/rocky-hill-middle-school-24622/,1130,Clarksburg High School,47,7,High,/clarksburg-md/schools/clarksburg-high-school-27390/,2200,18.325,1603
"23404 Clarksridge Rd, Clarksburg, MD 20871",Auction,https://www.zillow.com/homedetails/23404-Clarksridge-Rd-Clarksburg-MD-20871/60873844_zpid/,491K,60873844,5,3,3455,39.240053,-77.279198,Clarksburg,2004,8,https://www.zillowstatic.com/static/images/nophoto_p_f.png,SINGLE_FAMILY,Little Bennett Elementary School,36,8,Elementary,/clarksburg-md/schools/little-bennett-elementary-school-27391/,692,Rocky Hill Middle School,29,8,Middle,/clarksburg-md/schools/rocky-hill-middle-school-24622/,1130,Clarksburg High School,47,7,High,/clarksburg-md/schools/clarksburg-high-school-27390/,2200,14.725,1282
